Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59000287,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353316""","=""9780385353311""",0,4.07,Vintage,ebook,352,2021,2014,2023/04/08,2023/04/01,,,read,,,,1,0
77262337,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",5,4.27,Knopf ,Kindle Edition,418,2023,2022,2023/04/01,2023/03/25,,,read,,,,1,0
433567,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,"Abbott, Edwin A.",,"=""048627263X""","=""9780486272634""",0,3.81,"Dover Publications, Inc.",Paperback,96,1992,1884,2023/04/01,2023/04/01,,,read,,,,1,0
102146148,What's Our Problem?: A Self-Help Book for Societies,Tim Urban,"Urban, Tim",,"=""""","=""""",0,4.37,,Kindle Edition,746,2023,2023,2023/03/19,2023/02/21,,,read,,,,1,0
8201228,Tribal Leadership: Leveraging Natural Groups to Build a Thriving Organization,Dave Logan,"Logan, Dave","John King, Halee Fischer-Wright","=""""","=""""",0,3.98,,Kindle Edition,321,,2008,,2023/02/19,currently-reading,currently-reading (#24),currently-reading,,,,1,0
10418591,I Moved Your Cheese: For Those Who Refuse to Live as Mice in Someone Else's Maze,Deepak  Malhotra,"Malhotra, Deepak",,"=""1609940652""","=""9781609940652""",0,3.51,Berrett-Koehler Publishers,Hardcover,120,2011,2011,2023/02/16,2023/02/16,,,read,,,,1,0
14891877,"Two Cheers for Anarchism: Six Easy Pieces on Autonomy, Dignity and Meaningful Work and Play",James C. Scott,"Scott, James C.",,"=""0691155291""","=""9780691155296""",0,3.92,Princeton University Press,Hardcover,198,2012,2012,,2023/01/25,currently-reading,currently-reading (#23),currently-reading,,,,1,0
59133541,Homelessness is a Housing Problem: How Structural Factors Explain U.S. Patterns,Gregg Colburn,"Colburn, Gregg",Clayton Page Aldern,"=""0520383761""","=""9780520383760""",0,4.37,University of California Press,Hardcover,284,2022,2022,2023/01/25,2023/01/05,,,read,,,,1,0
59439117,Upgrade,Blake Crouch,"Crouch, Blake",,"=""""","=""""",0,3.82,Ballantine Books,Kindle Edition,352,2022,2022,2023/01/19,2023/01/05,,,read,,,,1,0
60613920,OF BOYS AND MEN,Richard V. Reeves,"Reeves, Richard V.",,"=""1800750544""","=""9781800750548""",0,4.17,Swift Press,Hardcover,298,2022,2022,2023/01/05,2022/10/13,,,read,,,,1,0
57265563,The Exiled Fleet (The Divide #2),J.S. Dewes,"Dewes, J.S.",,"=""""","=""""",0,4.25,Tor Books,Kindle Edition,557,2021,2021,2023/01/05,2022/12/03,,,read,,,,1,0
62675348,The Staff Engineer's Path,Tanya Reilly,"Reilly, Tanya",,"=""""","=""""",0,4.45,O'Reilly Media,Kindle Edition,580,2022,,2023/01/05,2022/12/15,,,read,,,,1,0
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""""","=""""",0,3.92,Ace,Paperback,525,1991,1961,,2023/01/05,currently-reading,currently-reading (#22),currently-reading,,,,1,0
